points/segment = 2000
x-axis,signal1,signal2
second,Volt,Volt
+5.92150E-03,+25.31390E-03,+3.30542565E+00
+5.97100E-03,+26.46453E-03,+3.30542565E+00
+6.02050E-03,+25.31390E-03,+3.30260138E+00
+6.07000E-03,+25.31390E-03,+3.30804071E+00
+6.11950E-03,+25.31390E-03,+3.30542565E+00
+6.16900E-03,+25.31390E-03,+3.30322899E+00
+6.21850E-03,+27.30135E-03,+3.30542565E+00
+6.26800E-03,+25.31390E-03,+3.30542565E+00
+6.31750E-03,+25.31390E-03,+3.30542565E+00
+6.36700E-03,+28.13817E-03,+3.30542565E+00
+6.41650E-03,+25.31390E-03,+3.30124155E+00
+6.46600E-03,+25.31390E-03,+3.30448422E+00
+6.51550E-03,+25.31390E-03,+3.30124155E+00
+6.56500E-03,+25.83692E-03,+3.30124155E+00
+6.61450E-03,+25.31390E-03,+3.30124155E+00
+6.66400E-03,+29.39340E-03,+3.30124155E+00
+6.71350E-03,+25.31390E-03,+3.29716205E+00
+6.76300E-03,+29.18420E-03,+3.30124155E+00
+6.81250E-03,+28.97499E-03,+3.30124155E+00
+6.86200E-03,+25.31390E-03,+3.30469343E+00
+6.91150E-03,+29.49800E-03,+3.30030012E+00
+6.96100E-03,+29.49800E-03,+3.29705745E+00
+7.01050E-03,+25.31390E-03,+3.30124155E+00
+7.06000E-03,+26.88294E-03,+3.29967251E+00
+7.10950E-03,+25.31390E-03,+3.30124155E+00
+7.15900E-03,+25.31390E-03,+3.29705745E+00
+7.20850E-03,+25.31390E-03,+3.30124155E+00
+7.25800E-03,+27.09215E-03,+3.30124155E+00
+7.30750E-03,+25.31390E-03,+3.30385661E+00
+7.35700E-03,+29.49800E-03,+3.30124155E+00
+7.40650E-03,+26.46453E-03,+3.30124155E+00
+7.45600E-03,+29.49800E-03,+3.30124155E+00
+7.50550E-03,+25.31390E-03,+3.30050933E+00
+7.55500E-03,+25.31390E-03,+3.30176456E+00
+7.60450E-03,+29.18420E-03,+3.30124155E+00
+7.65400E-03,+25.31390E-03,+3.30124155E+00
+7.70350E-03,+25.31390E-03,+3.30124155E+00
+7.75300E-03,+25.31390E-03,+3.29737125E+00
+7.80250E-03,+25.31390E-03,+3.30124155E+00
+7.85200E-03,+25.31390E-03,+3.30124155E+00
+7.90150E-03,+25.31390E-03,+3.29799887E+00
+7.95100E-03,+26.46453E-03,+3.30124155E+00
+8.00050E-03,+25.31390E-03,+3.30124155E+00
+8.05000E-03,+25.31390E-03,+3.30542565E+00
+8.09950E-03,+25.31390E-03,+3.30542565E+00
+8.14900E-03,+25.31390E-03,+3.30322899E+00
+8.19850E-03,+27.51056E-03,+3.30343820E+00
+8.24800E-03,+27.71976E-03,+3.30124155E+00
+8.29750E-03,+29.49800E-03,+3.30281058E+00
+8.34700E-03,+25.31390E-03,+3.30124155E+00
+8.39650E-03,+25.31390E-03,+3.30124155E+00
+8.44600E-03,+22.07123E-03,+3.30124155E+00
+8.49550E-03,+21.12980E-03,+3.30124155E+00
+8.54500E-03,+25.31390E-03,+3.30124155E+00
+8.59450E-03,+29.18420E-03,+3.30124155E+00
+8.64400E-03,+25.31390E-03,+3.30124155E+00
+8.69350E-03,+25.31390E-03,+3.30124155E+00
+8.74300E-03,+25.31390E-03,+3.30511184E+00
+8.79250E-03,+25.31390E-03,+3.30124155E+00
+8.84200E-03,+21.86202E-03,+3.30124155E+00
+8.89150E-03,+25.31390E-03,+3.30124155E+00
+8.94100E-03,+29.49800E-03,+3.30124155E+00
+8.99050E-03,+28.13817E-03,+3.30124155E+00
+9.04000E-03,+25.31390E-03,+3.30124155E+00
+9.08950E-03,+25.31390E-03,+3.30124155E+00
+9.13900E-03,+25.31390E-03,+3.30124155E+00
+9.18850E-03,+25.31390E-03,+3.29904489E+00
+9.23800E-03,+25.31390E-03,+3.30124155E+00
+9.28750E-03,+25.31390E-03,+3.30124155E+00
+9.33700E-03,+25.31390E-03,+3.30124155E+00
+9.38650E-03,+25.31390E-03,+3.30427502E+00
+9.43600E-03,+28.55658E-03,+3.30448422E+00
+9.48550E-03,+25.31390E-03,+3.30197376E+00
+9.53500E-03,+25.31390E-03,+3.30124155E+00
+9.58450E-03,+25.31390E-03,+3.29737125E+00
+9.63400E-03,+25.31390E-03,+3.30124155E+00
+9.68350E-03,+25.31390E-03,+3.30124155E+00
+9.73300E-03,+25.31390E-03,+3.30124155E+00
+9.78250E-03,+25.83692E-03,+3.30124155E+00
+9.83200E-03,+25.31390E-03,+3.29705745E+00
+9.88150E-03,+26.25533E-03,+3.30030012E+00
+9.93100E-03,+25.31390E-03,+3.30009092E+00
+9.98050E-03,+28.13817E-03,+3.29705745E+00
+10.03000E-03,+27.92897E-03,+3.29967251E+00
+10.07950E-03,+25.31390E-03,+3.29883569E+00
+10.12900E-03,+25.31390E-03,+3.30322899E+00
